,price
447,444000.0
448,1026740.0
449,587500.0
450,765000.0
451,365000.0
452,638000.0
453,1275000.0
454,680000.0
455,949000.0
456,800000.0
458,775000.0
459,673000.0
460,968000.0
461,699000.0
462,836000.0
463,627640.0
464,749000.0
465,1270000.0
466,621000.0
467,579000.0
468,765550.0
469,520000.0
470,738000.0
472,766000.0
473,1200000.0
474,850000.0
475,1190000.0
476,699000.0
477,343500.0
478,1050000.0
479,715000.0
480,720000.0
481,160000.0
482,1130000.0
483,339644.0
484,950000.0
485,570000.0
486,900000.0
487,850000.0
488,319680.0
489,1459000.0
490,460000.0
491,749999.0
493,599000.0
496,489000.0
497,555000.0
498,929000.0
499,427035.0
501,519168.0
503,895000.0
504,389000.0
505,487152.0
506,720000.0
507,229000.0
508,447450.0
509,339000.0
510,422620.0
511,729175.0
512,740000.0
514,477486.0
515,391412.0
516,745417.0
520,529000.0
521,599000.0
522,709000.0
523,760000.0
524,393000.0
525,464000.0
526,899000.0
527,395000.0
528,1244000.0
529,234930.0
530,340000.0
531,333905.05
532,541632.0
533,1480000.0
534,990000.0
535,329000.0
536,327294.0
537,320881.5
538,325028.0
539,450000.0
540,475000.0
541,750000.0
542,574035.0
543,499950.0
544,319000.0
545,960000.0
546,500000.0
549,548023.0
550,353424.0
551,451898.0
552,499900.0
553,379000.0
554,325000.0
556,499000.0
558,520000.0
559,529000.0
560,249000.0
561,850000.0
562,661380.0
563,926398.5
564,558480.0
565,1380000.0
566,665000.0
567,590000.0
568,995000.0
569,275000.0
570,1295000.0
571,1080000.0
572,1499000.0
573,307000.0
574,820000.0
575,880000.0
576,917000.0
577,420000.0
578,513088.0
579,347976.0
580,558000.0
581,445000.0
582,549000.0
583,730000.0
584,136000.0
585,430000.0
586,699000.0
587,720000.0
588,1270000.0
589,750000.0
590,299000.0
591,499000.0
592,369000.0
593,980720.0
594,619000.0
595,469000.0
596,520000.0
598,276000.0
599,748000.0
600,899000.0
601,499000.0
602,920000.0
604,419000.0
605,420000.0
606,700000.0
607,1126000.0
608,899000.0
611,589000.0
612,318000.0
613,640920.0
614,999000.0
615,765000.0
616,539120.0
618,419120.0
619,523000.0
620,490000.0
621,740000.0
622,443040.0
623,310000.0
624,335907.0
625,750000.0
626,297000.0
628,880000.0
629,1140000.0
630,300000.0
631,599000.0
632,750000.0
633,500000.0
634,714000.0
635,400000.0
636,699600.0
637,595000.0
638,450000.0
639,525000.0
640,809490.0
643,1430290.0
646,410000.0
647,395000.0
648,435000.0
649,609000.0
650,800000.0
651,579999.0
652,273000.0
653,619000.0
654,235000.0
655,365000.0
656,869000.0
657,1067200.0
658,675000.0
659,619885.0
660,539000.0
661,720000.0
662,1084000.0
663,479000.0
664,1065000.0
665,541320.0
666,699000.0
667,849000.0
668,305000.0
669,325000.0
670,608000.0
671,699000.0
672,519000.0
673,799000.0
674,620000.0
675,742500.0
676,799000.0
677,1050000.0
678,589000.0
679,510000.0
680,450000.0
681,402930.0
682,849000.0
683,1469672.0
684,699000.0
686,690000.0
688,190000.0
689,269000.0
690,1000000.0
691,375000.0
692,669000.0
693,615000.0
694,425000.0
695,555197.0
696,229000.0
697,620000.0
698,720000.0
699,679000.0
700,839000.0
701,850000.0
702,529000.0
703,730000.0
704,549000.0
705,500000.0
706,950000.0
707,1450000.0
708,589000.0
709,579000.0
710,729000.0
711,740000.0
712,1140000.0
713,670000.0
714,329000.0
715,1349000.0
716,141000.0
717,698000.0
718,673000.0
719,485000.0
720,192970.0
721,520000.0
722,480000.0
723,850000.0
724,460000.0
725,710000.0
727,385000.0
728,499000.0
729,617800.0
730,469000.0
731,359000.0
732,1039350.0
733,785000.0
734,939000.0
735,225000.0
736,299000.0
737,899000.0
738,1325000.0
739,470000.0
740,285000.0
741,374850.0
742,950000.0
743,460000.0
744,700000.0
745,761200.0
746,560000.0
747,300000.0
748,1318000.0
749,1318000.0
750,415140.0
751,369000.0
752,587000.0
753,899000.0
754,749900.0
755,525000.0
756,557000.0
757,270000.0
758,650000.0
759,1199000.0
760,830238.0
761,210000.0
762,210000.0
763,1070000.0
764,489000.0
765,1299000.0
766,534000.0
767,620000.0
768,620000.0
769,658746.0
770,865000.0
771,230000.0
772,1370000.0
773,635000.0
774,646390.0
775,496548.0
776,330000.0
778,512700.0
